Judul,Harga,Penulis,Diskon
Novel The Big Four (Empat Besar),51750,Agatha Christie,25
Novel Nadira,71250,Leila S. Chudori,25
Novel Milea Suara Dari Dilan,80100,Pidi Baiq,10
Novel Critical Eleven,74250,Ika Natassa,25
Novel Dilan 2:Dia Adalah Dilanku Tahun 1991,89100,Pidi Baiq,10
Novel Menuju Titik Nol (Towards Zero),44250,Agatha Christie,25
Novel Membunuh Itu Gampang (Murder Is Easy),59250,Agatha Christie,25
Novel The Moving Finger (Pena Beracun),44250,Agatha Christie,25
Novel Murder On The Orient Express ( Pembunuhan Di Orient Express ),46500,Agatha Christie,25
Novel Buku Catatan Josephine (Crooked House),37500,Agatha Christie,25
Novel The Murder of Roger Ackroyd (Pembunuhan Atas Roger Ackroyd),46500,Agatha Christie,25
Novel Mrs. Mcginty's Dead (Mrs. Mcginty Sudah Mati),51750,Agatha Christie,25
Novel 1Q84 Jilid 3,98000,Haruki Murakami,30
Novel Coratcoret di Toilet,33750,Eka Kurniawan,25
Novel Mengungkit Pembunuhan (Five Little Pigs),51750,Agatha Christie,25
Novel Cantik Itu Luka,100000,Eka Kurniawan,20
Novel The Pale Horse (Misteri Penginapan Tua),51750,Agatha Christie,25
Novel Akar: Supernova,80100,Dewi Lestari,10
Novel Mawar Tak Berduri (Sad Cypress),59250,Agatha Christie,25
Novel A Carribean Mystery (Misteri Karibia),51750,Agatha Christie,25
Novel yang (Tak) Pernah Sederhana,59400,Tia Setiawati,10
Novel The Murder at The Vicarage (Pembunuhan di Wisma Pendeta),47250,Agatha Christie,25
Novel Dengarlah Nyanyian Angin,42000,Haruki Murakami,30
Novel Tsukuru Tazaki Tanpa Warna dan Tahun Ziarahnya,74250,Haruki Murakami,25
Novel Twivortiare,74250,Ika Natassa,25
Novel Parker Pyne Investigates (Parker Pyne Menyelidiki),44250,Agatha Christie,25
Novel The Mystery of the Blue Train (Misteri Kereta Api Biru),59250,Agatha Christie,25
Novel Misteri Burung Hitam (A Pocket Full of Rye),44250,Agatha Christie,25
Novel Pembunuhan di Malam Natal (Hercule Poirot's Christmas),51750,Agatha Christie,25
Novel Mengail Di Air Keruh (Taken At The Flood),46500,Agatha Christie,25
Novel Anak Rantau,85500,A Fuadi,10
Novel Nemesis,59250,Agatha Christie,25
Novel Twivortiare 2,81750,Ika Natassa,25
Novel Masalah di Teluk Pollensa (Problem at Pollensa Bay and Other Stories),39000,Agatha Christie,25
Novel Buku Besar Peminum Kopi : Original Story,98100,Andrea Hirata,10
A Master Novel :  Trophy Book One The Winner Award,79200,Naya A.,10
Novel Dreams Are Made Of A Box Of Crayons,94500,Naela Ali,30
Novel Garis Batas,99750,Agustinus Wibowo,25
Novel Mengapa Luka Tidak Memaafkan Pisau,74250,M. Aan Mansyur,25
Novel Para Peziarah Yang Janggal (Strange Pilgrims),63750,Gramedia Pustaka Utama,25
Novel Di Tanah Lada,66000,Ziggyzesyazeoviennazabrizkie,25
Novel Rembulan Tenggelam Di Wajahmu,94500,Tere Liye,10
Novel Dia Adalah Kakakku,89100,Tere Liye,10
Novel The Guest And Others Stories,71100,Albert Camus,10
Novel Harga Sebuah Percaya,89100,Tere Liye,10
86 - Sebuah Novel,52500,Okky Madasari,25
Hujan Bulan Juni (Novel Grafis),58500,Sapardi Djoko Damono,25
Novel Manusia dan Badainya,79200,Syahid Muhammad,10
Novel Bagaimana Pak ?,98100,Gigrey,10
Novel My Boss's Baby,80100,Anothermissjo,10
Novel Fase,124200,Patrick Kellan,10
Novel Yes! Mr. Husband,80550,Windi Sulistriani,10
Novel Boy Next Door,98100,Kil,10
Novel The School for Good and Evil 1,141750,Soman Chainani,25
Novel Aristotle and Dante Discover The Secrets Of The Universe,116100,Benjamin Alire Saenz,10
Novel The Boy With The Hidden Hurt,53100,Gusti Riant,10
"Novel Lonely Star, Ketika Rasa Kembali Berpendar",66000,Aulia Manaf,0
Novel Watersong,86250,Clarissa Goenawan,25
Novel The Martyr,108750,Cho Jong Nam,25
Novel Para Pengunjung Dini Hari,74250,"Ryu-Jin Jang, Yoo-Ji Ha, Ji-Hyang Jeong, Min-Jung Park, Hyun Kim, Hyun-Jin Kim",25
Novel The Dragon Awakening: Kebangkitan Sang Naga,74250,Valija Zinck,25
Novel The Enchanted Garden: Rahasia Sang Biru,59250,Nelly Möhle,25
Novel Life Hack,93750,JUNE PERRY,25
Novel Eleanor Oliphant Is Completely Fine,108750,GAIL HONEYMAN,25
Light Novel: Stand By Me Doraemon,75000,Fujiko F. Fujio,0
Novel Grafis: Tidak Jatuh Cinta,80750,Rayni M. Massardi & Erby S.,15
Novel Bergambar: Kursi Berhantu dan Pesan Rahasia,44100,Witaru Emi,10
Novel Bergambar: Ada Hantu di Rumah Ini,44100,Iwok Abqary,10
Novel: Tentang Ziarah yang Terkutuk,97200,Sesuji,10
Light Novel Doraemon Nobita`s Mermaid Legend,85000,"Fujiko F. Fujio, Manabu Wakui",0
Novelis Sebagai Panggilan Hidup,66500,Haruki Murakami,30
Introver Novel Penggugat Jiwa,67500,M. F. Hazim,10
Light Novel One Piece: The Legend of Thousand Year Dragon,42600,Eiichiro Oda,25
Light Novel One Piece: Chopper`s Kingdom on The Island of Strange Animals,43350,Eiichiro Oda,25
Light Novel Detektif Conan: A Challenge Letter to Shinichi Kudo ~Showdown! Shinichi Kudo vs Heiji Hattori~,59100,Aoyama Gosho,25
